mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.07117414474487305,0.00011205673217773438,0.013880491256713867,0.00013971328735351562,0.01,10,2,5,"{'learning_rate': 0.01, 'l2_leaf_reg': 10, 'iterations': 2, 'depth': 5}",0.5845290904227533,0.7084661435158969,0.6464976169693251,0.06196852654657181,9,0.8309310645488949,0.7577090652539589,0.7943200649014268,0.036610999647468
0.0665973424911499,0.00407254695892334,0.015321612358093262,0.001669764518737793,0.9,15,1,5,"{'learning_rate': 0.9, 'l2_leaf_reg': 15, 'iterations': 1, 'depth': 5}",0.6183382133028387,0.5711363697651215,0.5947372915339801,0.023600921768858585,13,0.7858888619223543,0.5882142004419798,0.687051531182167,0.09883733074018725
0.0964345932006836,0.006661653518676758,0.005200386047363281,0.0002002716064453125,0.9,1,2,7,"{'learning_rate': 0.9, 'l2_leaf_reg': 1, 'iterations': 2, 'depth': 7}",0.6585064061941803,0.7421567834317613,0.7003315948129708,0.041825188618790476,2,0.884167947577057,0.8245858907545073,0.8543769191657822,0.029791028411274845
0.0611419677734375,0.01671123504638672,0.005668997764587402,0.00035703182220458984,0.01,5,1,7,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 1, 'depth': 7}",0.5821854484156406,0.5711363697651215,0.576660909090381,0.0055245393252595365,17,0.8284474467186222,0.5882142004419798,0.708330823580301,0.12011662313832122
0.05377209186553955,0.00270235538482666,0.011942386627197266,0.006449222564697266,0.01,1,3,4,"{'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 3, 'depth': 4}",0.644815713082926,0.7416628464076083,0.6932392797452671,0.048423566662341155,3,0.865565982615574,0.78972253289267,0.8276442577541221,0.03792172486145201
0.11316299438476562,0.017750978469848633,0.007749438285827637,0.002158522605895996,0.1,5,2,4,"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 2, 'depth': 4}",0.5188160074967821,0.7058683673561111,0.6123421874264466,0.0935261799296645,12,0.842305548813922,0.7572836013277346,0.7997945750708283,0.04251097374309365
0.07794845104217529,0.0011702775955200195,0.012813448905944824,0.007004380226135254,0.1,15,1,6,"{'learning_rate': 0.1, 'l2_leaf_reg': 15, 'iterations': 1, 'depth': 6}",0.6183382133028387,0.5711363697651215,0.5947372915339801,0.023600921768858585,13,0.7858888619223543,0.5882142004419798,0.687051531182167,0.09883733074018725
0.08845686912536621,0.010944128036499023,0.012557029724121094,0.00457453727722168,0.9,1,1,6,"{'learning_rate': 0.9, 'l2_leaf_reg': 1, 'iterations': 1, 'depth': 6}",0.5846897613991121,0.5711363697651215,0.5779130655821167,0.006776695816995304,16,0.8396969860403241,0.5882142004419798,0.7139555932411519,0.12574139279917212
0.09514498710632324,0.03679370880126953,0.005740523338317871,0.00016248226165771484,0.01,20,2,7,"{'learning_rate': 0.01, 'l2_leaf_reg': 20, 'iterations': 2, 'depth': 7}",0.5806851046336073,0.7083915361036954,0.6445383203686514,0.06385321573504404,10,0.8220739062823037,0.7456398923594219,0.7838568993208628,0.038217006961440925
0.05587053298950195,0.007453203201293945,0.011822104454040527,0.000718235969543457,0.01,5,3,6,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 3, 'depth': 6}",0.5904757117544732,0.7253943855675108,0.6579350486609921,0.06745933690651879,7,0.8730406565452273,0.7918287588481236,0.8324347076966755,0.04060594884855184
