mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.054633498191833496,0.001796126365661621,0.009880900382995605,0.0023041963577270508,3,1,1,0.01,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.05159401893615723,0.01511693000793457,0.008989095687866211,0.003756284713745117,3,1,1,0.1,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.06129896640777588,0.0026074647903442383,0.006314754486083984,0.0007429122924804688,3,1,1,0.9,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 1, 'learning_rate': 0.9}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.049718379974365234,0.012892007827758789,0.006688952445983887,0.0006831884384155273,3,1,5,0.01,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 5, 'learning_rate': 0.01}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.06153750419616699,0.025339841842651367,0.009756922721862793,0.004032015800476074,3,1,5,0.1,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.03272294998168945,0.002803325653076172,0.005161404609680176,2.9206275939941406e-05,3,1,5,0.9,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 5, 'learning_rate': 0.9}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.10771572589874268,0.0345081090927124,0.005971074104309082,0.0006514787673950195,3,1,10,0.01,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 10, 'learning_rate': 0.01}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.12881648540496826,0.04565012454986572,0.005198121070861816,0.00021183490753173828,3,1,10,0.1,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 10, 'learning_rate': 0.1}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.08543336391448975,0.017058968544006348,0.009488582611083984,0.003980875015258789,3,1,10,0.9,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 10, 'learning_rate': 0.9}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.09594464302062988,0.00625920295715332,0.009321808815002441,0.004173636436462402,3,1,15,0.01,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 15, 'learning_rate': 0.01}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
